,AS,CEc,CEe,CL,MCr,MCt,MCu,MS,QLl,QLq,SNs,KNa,KNc,KNf,KNn,KNs,AT,VO
AS,-0.06062203557624768,-0.050040607652691804,-0.049972897228597546,-0.0552792366728585,-0.087908592415614,-0.0436996380468595,0.026883270577179097,-0.2183516083271917,0.010422196816345153,0.29885409408103003,0.021288975812869232,0.06864720897259868,-0.2744634599952305,0.22095994779600692,0.09222680611045653,-0.1681030329433535,-0.04796799901187443,-0.03567372057991358
CEc,-0.054439424030714,-0.04648674589350854,-0.0652466679949697,-0.0343610541583379,-0.07017938516714106,-0.047252019770289255,-0.00769730118840295,-0.22058441043703314,0.05136161761586777,0.36033558930587606,0.01591006960735794,0.05879582912882597,-0.290145492018399,0.30710792032753376,0.050205565589241496,-0.2981975786323192,-0.04484179269476263,-0.021743890342166505
CEe,-0.08315724259904789,-0.07904288901913592,-0.056230141592374494,-0.07414126847024693,-0.10029652651386622,-0.02944249930591969,7.197869430664028e-05,-0.2926171710316604,0.0022994622163268197,0.39590788269529353,0.04277848042693648,0.10277079413065149,-0.4212784444375892,0.36015375163237406,0.12982128718470753,-0.2552068873327782,-0.0763546133201718,-0.035123032153911105
CL,-0.11767601441231346,-0.04536716051373313,-0.053579512685192565,-0.007782897470403283,-0.0744972124203882,-0.02290916025326961,0.019131664299756324,-0.2208234367538806,0.07475069922047006,0.4114610141952607,0.034835442880974385,0.06066474006362732,-0.27303939200377036,0.34886837911082735,0.02813083329715771,-0.22460945978629576,-0.00034030796708206523,0.0009015447966214118
MCr,-0.1383820142095531,-0.07948395747948078,-0.037103586992960125,-0.09121278643495923,-0.1387972705546483,-0.05801693467282343,-0.04589793777643214,-0.25040952494241564,0.002588431217760867,0.41036886442529186,0.026096698495777143,-0.029181274534188617,-0.41141046575757256,0.4003088469066647,0.07237052977625891,-0.362965622397889,-0.06238621002887346,-0.049232965297978826
MCt,-0.08929321203638896,-0.09431848223310801,-0.06064147422439925,-0.11461939196018966,-0.1327556177591167,-0.09330922945338616,-0.035133348884223814,-0.27441645284192523,-0.009646217245937505,0.3324562631210637,0.0195560220822642,-0.06448487675919479,-0.2641691936863386,0.30465982427493965,0.01643573594588288,-0.287881191198196,-0.06172148355493334,-0.06792862141357592
MCu,-0.06161207794543255,-0.035447324400530444,-0.048268859489886795,-0.06262236231800467,-0.07268364102755509,-0.03421140136876133,-0.015587729328614408,-0.2145772753029157,0.026190201513984546,0.33366189488970843,0.021660463017314793,-0.0359817317512614,-0.1596995782423256,0.3091012116626346,-0.06917012476290973,-0.14644373114729614,0.007070294076730654,-0.02142464517048448
MS,-0.049066587393350236,-0.06316478546001081,-0.05413253814480279,-0.06919402977221645,-0.09047111062003754,-0.05795852795414769,0.006801369920073519,-0.25263941120270506,0.0006033190439673763,0.27877680571504493,0.012682415222932092,0.08205226689677003,-0.22961419588664445,0.31111356647931343,0.03591852912921678,-0.2046913317171748,0.019902513113200904,-0.04973435985262542
QLl,-0.0335673719028895,-0.07229607439305985,-0.05493228484054158,-0.13054858640703992,-0.11886974973475617,-0.10407913624165266,0.00881607688947117,-0.31085876552455843,-0.06400798851650746,0.3407252075141983,0.024047931099045128,0.10910753292142505,-0.418660051176434,0.2931173937464895,0.13451850464956627,-0.16931598327404362,-0.11022966984959126,-0.09256256631092796
QLq,-0.11690127443712583,-0.07977800310727501,-0.038443295074656936,-0.08311889160609742,-0.1197145794811929,-0.052342953388037294,6.674676278217717e-05,-0.22395882150779522,0.03772754255461175,0.4039407572775272,0.06759245846789196,0.01827299141949057,-0.3532032765559807,0.3515821823067111,0.09455815063182205,-0.2587189734063855,-0.04581171164262399,-0.008268077721634848
SNs,-0.0516385916686426,-0.03353153843646872,-0.05497185382645231,-0.05674936887913917,-0.08260593821140416,-0.052935484632267826,0.025020818840685966,-0.1861558361869099,-0.02512870595031136,0.27371072094437177,0.031534877692354676,0.047350453669042114,-0.2874858070386601,0.22324615080894739,0.056743375150826614,-0.1271723050792728,-0.006813370659276785,-0.03983881366135522
KNa,-0.03642870988286795,-0.040680641320300026,-0.04795849140198816,-0.01703680115193973,-0.05046936006424274,-0.033441558441558605,0.05470052335723974,-0.1735289231024839,0.03306080912690712,0.25104740675103143,0.04487303741035084,0.151335391687204,-0.22601833134882177,0.198161326945975,-0.0005621244427214123,-0.024287652645861524,-0.02887879710907404,-0.031153601196244995
KNc,-0.07307238769066915,-0.04692465101516374,-0.038628937161255816,-0.027545762015839692,-0.05412910342728905,-0.006987263571950564,0.031642491626367786,-0.18766220141135936,0.05976169762323402,0.290332397089915,0.019641478896484363,-0.020393663975733833,-0.19289927468743828,0.29284745203950946,-0.03073856067196834,-0.1802548758076581,-0.01950363965140145,-0.015416726485626864
KNf,-0.06689520841449159,-0.0548026230359695,-0.04989416958836501,-0.07204129333852749,-0.10294117647058831,-0.05637709388391121,0.031679651993247404,-0.2362556810803791,-0.017843786521231086,0.3065381119335152,0.047873652772367215,0.09075249967536658,-0.28306908193741087,0.23464809764965588,0.06847227632774966,-0.1651571224516295,-0.06014868198935197,-0.04485326580963522
KNn,-0.02616877020690822,-0.047586115052135725,-0.044022051571458,-0.058816277340309364,-0.0613261533430729,-0.026495113422397853,0.050072257002863996,-0.19579274370915756,-0.005526737728176467,0.26057879441564125,0.042405498916144965,0.12661325625919684,-0.1983250352055106,0.20312392867126228,0.07195834937579448,-0.09478721103791643,-0.022183427302598258,-0.03373136217635975
KNs,-0.04408010089513681,-0.0033695646273521618,-0.03897744154107552,0.04638498298208815,-0.009942224144264156,0.03018711560418552,0.05186907517013406,-0.14325408529402717,0.09537992194016853,0.27272483818960536,0.034405314003542894,0.037880550725319484,-0.20334748929255797,0.20451458691077407,-0.054222088724751316,-0.12160722912930888,0.020834049575412017,0.016557224877092658
AT,-0.05808704070736148,-0.019789628078398014,-0.0400217726420935,0.013062546485006488,-0.011220805338452378,0.0003334455206114306,0.0406917799965929,-0.21252217776281945,0.06251843818688729,0.37767535494808213,0.045247830007188294,0.041509292846191315,-0.1830699009843395,0.3447722806011577,-0.004509305311444223,-0.24302361334446898,0.05245170753192108,0.002622897007923841
VO,-0.10336066683708145,0.0005653378928061059,-0.05753046690404506,0.022113585893352328,-0.05110704048971915,0.019280532400507866,0.05430072228191429,-0.26402835245547207,0.11943372871630098,0.4868011810223247,0.06090481640307213,0.10472716524589698,-0.37082311995098305,0.426148097314486,0.08667170839171456,-0.29156267666809166,0.025159127237088796,0.016942458926381354
